path,label,pca_features
s3://p9-compartiment/Test_aws/Cherry Wax Yellow/r_240_100.jpg,Cherry Wax Yellow,"[13.070672988891602, -7.3862690925598145, 9.11440658569336, -2.1724259853363037, 3.6562860012054443, 3.7949976921081543, 4.574965000152588, 2.153381824493408, -5.8172478675842285, -1.153464913368225, 1.0434850454330444, 0.7987444996833801, -2.3135788440704346, -0.17926913499832153, -1.7475359439849854, -3.1804096698760986, -0.3025939464569092, -0.628568708896637, -4.9050140380859375, -0.25794717669487, -0.6183419227600098, -1.260573387145996, -1.8891890048980713, 0.6077630519866943, -0.7907085418701172, 0.4532386362552643, -0.22283045947551727, 3.3838038444519043, 0.884535551071167, -1.6058939695358276, -0.049830272793769836, 0.791145384311676, 0.5362110137939453, 2.6154916286468506, -0.5504288077354431, -0.9097608923912048, -0.810580313205719, 1.6058697700500488, -0.6786657571792603, -2.574193239212036, -4.650548934936523, -0.9109588265419006, -3.5305280685424805, -1.8150914907455444, -0.8350285887718201, -0.8983094692230225, -0.19012528657913208, -1.1982882022857666, -2.203371286392212, 1.2260395288467407, -2.5624334812164307, -0.2967066764831543, -0.9088866710662842, 2.4861319065093994, 2.0011940002441406, -0.9786211252212524, 0.003836381947621703, -1.589051365852356, 1.0028527975082397, 1.172013521194458, -0.744678258895874, 1.8533070087432861, -2.041640281677246, 1.498349666595459, -1.2110402584075928, -0.3599177300930023, 0.4899372160434723, -0.8640174269676208, -1.2313627004623413, 1.1600837707519531, 1.495240330696106, 1.1017400026321411, -0.011805564165115356, 0.16100387275218964, 1.4414058923721313, 0.821610152721405, -0.5454154014587402, 0.03187071159482002, -3.060042142868042, -1.1089987754821777, -0.9109193682670593, 0.3143950402736664, 2.528839349746704, -0.3990495800971985, 0.9149381518363953, -0.8272677659988403, -1.5798959732055664, -0.07005053758621216, 0.7171076536178589, -0.3061312437057495, -0.27445507049560547, -1.5694804191589355, -1.4685912132263184]"
s3://p9-compartiment/Test_aws/Hazelnut/264_100.jpg,Hazelnut,"[-0.13802677392959595, -1.6116430759429932, -3.064990758895874, 8.553404808044434, -2.9711835384368896, 3.180467367172241, -6.194613456726074, -2.711879014968872, -3.3366079330444336, -7.361577033996582, 1.6966753005981445, -1.796729564666748, 3.403127431869507, -4.918254375457764, -0.7891401648521423, 4.942326545715332, 4.747772216796875, -1.5035436153411865, 2.2589685916900635, -1.389900803565979, -4.025866985321045, -5.284983158111572, -1.128614902496338, 1.6932426691055298, 3.0531980991363525, 6.546995162963867, 3.275383949279785, 1.0400960445404053, 4.151829242706299, -1.8008445501327515, -0.010015329346060753, -0.7667735815048218, -2.5021135807037354, 1.0526477098464966, 2.4291181564331055, -1.414658784866333, -1.9703961610794067, 5.369692802429199, 2.1228911876678467, 2.4400579929351807, -3.793402910232544, -0.3354088366031647, 5.734213829040527, 0.3541678190231323, -0.8212072849273682, -1.4826126098632812, 0.960486650466919, -2.371072292327881, 0.9218758940696716, 0.44376423954963684, -0.3821251392364502, 3.3988304138183594, -0.3696304261684418, 0.05511170253157616, -2.4865119457244873, -0.29579243063926697, 2.255423069000244, -0.9676486849784851, -0.7231855392456055, -0.21129195392131805, 0.9127736687660217, 1.090553641319275, -0.8781933784484863, 0.8552334308624268, -0.9236092567443848, -3.2526233196258545, -0.30807968974113464, 0.01716456189751625, 3.102092742919922, -3.3255081176757812, 0.8288844227790833, 0.2733347415924072, 2.745664358139038, -2.0733962059020996, -0.24301744997501373, -1.7108850479125977, 1.598188877105713, 3.0614233016967773, 1.46670401096344, 2.9229156970977783, 0.0764739140868187, -2.8548223972320557, 0.3269527852535248, -0.8897457718849182, -0.293984055519104, -0.912359893321991, 0.022179407998919487, -1.4173460006713867, -1.2449864149093628, 0.7012467384338379, 0.3120955526828766, -0.3246634006500244, -0.43185243010520935]"
s3://p9-compartiment/Test_aws/Banana/r_218_100.jpg,Banana,"[-26.998823165893555, -4.585101127624512, 29.44183921813965, 14.98094654083252, 2.3911917209625244, 2.71535325050354, 2.0136818885803223, 6.500838279724121, 15.021185874938965, -0.035688724368810654, -1.9285197257995605, -4.687900543212891, 2.3167989253997803, 0.7726054191589355, -9.055379867553711, 3.5231497287750244, 0.1809936910867691, -4.887892246246338, 0.8753993511199951, 0.6543753147125244, 3.5105559825897217, 0.5933762192726135, -2.5878989696502686, 1.1217678785324097, 4.044592380523682, -4.522205829620361, -1.4357982873916626, -3.437783718109131, -3.5342938899993896, -2.427621603012085, 6.079432964324951, 3.316330909729004, 3.4836325645446777, 3.646660089492798, -3.6837687492370605, -3.281456470489502, 2.889774799346924, -5.176675796508789, -1.6271734237670898, -7.674979209899902, -2.588881731033325, 2.643299102783203, 3.172360420227051, -3.552978992462158, 0.4150605797767639, 2.0858588218688965, 1.354336142539978, -2.0950918197631836, -4.192103385925293, 3.61053729057312, -0.41068071126937866, -4.29749870300293, -0.25592300295829773, -2.7330079078674316, 0.17316201329231262, -1.453253149986267, 1.1627000570297241, 0.07608674466609955, 0.9163393974304199, -2.538527727127075, -3.28855037689209, -4.499086856842041, 1.6151906251907349, 0.6990596055984497, 0.576888918876648, 0.5629945397377014, -1.398663878440857, -1.251645565032959, -3.2217273712158203, -0.7575539350509644, 5.423619270324707, -1.028524398803711, 1.708569884300232, 1.623481035232544, 0.9033632874488831, -0.12628963589668274, 1.7040183544158936, 0.18782652914524078, 0.3583730161190033, 2.0119221210479736, 2.410647392272949, -4.60457706451416, -0.2491379827260971, -1.2889443635940552, -0.38956233859062195, 1.2361140251159668, -0.5604241490364075, -2.5062477588653564, -0.714999258518219, 3.568460702896118, 1.2540372610092163, 1.6480391025543213, 0.4573185443878174]"
s3://p9-compartiment/Test_aws/Lychee/148_100.jpg,Lychee,"[-5.369858264923096, 10.065193176269531, -0.6200283169746399, -15.105332374572754, -3.681647539138794, 10.471688270568848, -0.34445422887802124, 0.4484245777130127, 3.166015386581421, 0.8795469999313354, 5.905313014984131, 5.9431657791137695, -7.457015037536621, -2.634538412094116, -2.5822553634643555, 5.417888641357422, 4.0519609451293945, 2.028002977371216, 4.944270610809326, -1.5956063270568848, 0.8947996497154236, 1.8899527788162231, -6.129451751708984, -4.049455642700195, -3.6102497577667236, 0.4859001338481903, 0.0753413736820221, -3.973754644393921, 3.429940938949585, 2.2750885486602783, 0.5247746109962463, 4.691005706787109, 2.5355379581451416, 0.5647995471954346, -1.0208243131637573, -2.4329397678375244, 1.8378758430480957, -0.4867511987686157, 1.2750364542007446, 0.320817768573761, 3.1875102519989014, 2.805403232574463, -2.720334053039551, -2.0573291778564453, -1.1742397546768188, 0.2684561312198639, 0.20087386667728424, -2.4689581394195557, -3.0406007766723633, -2.1985583305358887, -1.4991332292556763, 2.0723657608032227, 1.8418939113616943, -0.8074180483818054, 0.9990518093109131, 0.2339428812265396, -2.7033793926239014, 2.4085681438446045, 0.48207616806030273, 2.6335206031799316, -1.8342045545578003, -0.13867691159248352, -1.6374406814575195, -0.6306004524230957, -0.03290748596191406, -2.4477524757385254, -0.8178393244743347, 1.0427346229553223, -0.6485202312469482, 2.006563901901245, 0.7897869348526001, 2.7808120250701904, 1.4122883081436157, -1.4786357879638672, 2.490201473236084, -1.4509246349334717, -1.6410095691680908, -0.14612576365470886, -1.8540525436401367, 1.9600856304168701, 3.071506977081299, 2.976665735244751, 1.834637999534607, -3.3864023685455322, 1.9296789169311523, 1.4357852935791016, -0.6498985886573792, 0.26397615671157837, -0.11486849188804626, -0.25923609733581543, 0.4386749863624573, 2.5728766918182373, -1.5764929056167603]"
s3://p9-compartiment/Test_aws/Pineapple/123_100.jpg,Pineapple,"[-16.223098754882812, 3.3685123920440674, -3.8387973308563232, -15.30164623260498, 6.191869258880615, 3.3149290084838867, 7.387022972106934, -3.2620327472686768, 4.427199363708496, -3.299104690551758, 14.223011016845703, 1.7456748485565186, 0.8872674703598022, -3.2219576835632324, -2.9398996829986572, 7.596334934234619, 2.665029287338257, -3.772454023361206, -2.7722511291503906, 2.107797145843506, 6.738997459411621, -5.608662128448486, -2.287789821624756, -1.656522512435913, -5.4346184730529785, -0.007284923456609249, 0.9187045097351074, -1.953573226928711, 0.8987932801246643, 2.337085723876953, -6.932383060455322, -1.6523586511611938, 1.4521472454071045, 6.098569869995117, -2.5105557441711426, 7.734554767608643, 3.82987380027771, 7.431427001953125, 0.3981792628765106, 0.4173215627670288, 2.791651964187622, -4.897803783416748, 3.93223237991333, -3.9064202308654785, -4.522482395172119, 3.457005500793457, -0.9575790762901306, 0.6518129110336304, -0.12018821388483047, 3.1925740242004395, -2.0459394454956055, -1.1744893789291382, -0.5804009437561035, -6.708207607269287, 4.0057525634765625, -2.9980289936065674, 1.9643553495407104, -1.2869118452072144, 0.9643754363059998, -1.036455750465393, 6.606278896331787, 1.8483548164367676, 0.7800806164741516, 4.919914722442627, -2.373316526412964, 1.9990484714508057, -5.460000514984131, 2.6370463371276855, 0.7993035912513733, 0.07489269226789474, 0.8959745764732361, 4.574071884155273, -4.958454132080078, 1.6278126239776611, 0.34912919998168945, -2.9895896911621094, 1.8512316942214966, -0.844495415687561, -1.8415544033050537, 3.904980182647705, -2.1540415287017822, -0.9175435304641724, 1.022076964378357, 0.3938685953617096, 0.18111561238765717, 1.835668683052063, 3.09712553024292, -0.21115589141845703, -0.9746106863021851, -1.2356619834899902, -0.7585213780403137, -4.341311454772949, 0.9917854070663452]"
s3://p9-compartiment/Test_aws/Rambutan/307_100.jpg,Rambutan,"[-16.53744125366211, -2.6271965503692627, -11.559659004211426, -18.40776252746582, 7.684117794036865, 6.511123180389404, 3.103461980819702, 15.052332878112793, 0.08530715852975845, -8.104507446289062, 13.303999900817871, -12.361434936523438, 6.847877502441406, -5.161690711975098, 6.501672267913818, -2.002418279647827, -3.70564341545105, -4.774934768676758, 0.9026615023612976, 3.232635259628296, 8.28116226196289, -7.527762413024902, 10.344202041625977, -1.0458273887634277, 3.503476858139038, -4.028194904327393, 2.3085551261901855, -3.7459564208984375, 4.610134601593018, 0.23953817784786224, 5.097250938415527, -2.406304359436035, -2.08627986907959, -1.298163652420044, 7.295037269592285, -4.324185371398926, -1.3257585763931274, -2.1990370750427246, 3.1487457752227783, -4.461540699005127, -1.4337211847305298, 0.2539624571800232, -4.240489959716797, -0.513116180896759, -1.7968006134033203, 2.77795672416687, -0.11009486019611359, -0.30182158946990967, 0.529130220413208, 0.8218502998352051, -1.0645116567611694, -0.22556474804878235, -4.986737251281738, 1.3895632028579712, 0.5565800070762634, -0.021236682310700417, 0.39274564385414124, 6.095893859863281, -3.5765674114227295, -0.8379771113395691, 2.718956470489502, 1.0284870862960815, -4.462881088256836, -0.173637256026268, -2.0999996662139893, 1.8789048194885254, 0.7541821599006653, 2.388509511947632, -0.47795888781547546, -0.37036213278770447, -3.8255105018615723, -0.7792328596115112, 0.49779918789863586, -1.092392086982727, -0.8340334892272949, -1.0937671661376953, 3.117550849914551, -4.759468078613281, 0.6337670683860779, -1.3949828147888184, -2.0091300010681152, -2.935295820236206, -2.9033405780792236, -2.2947494983673096, -4.055941581726074, -2.6755621433258057, 3.1807143688201904, -0.035782720893621445, -1.1369441747665405, -2.885406732559204, 0.22208063304424286, -3.5809009075164795, -1.4628978967666626]"
s3://p9-compartiment/Test_aws/Tomato 3/r_97_100.jpg,Tomato 3,"[4.515769958496094, -5.441960334777832, 5.083179473876953, -5.786406517028809, 2.6178016662597656, -3.358085870742798, -2.585768699645996, -7.682855129241943, -0.7156234383583069, 0.5931264758110046, -2.9390416145324707, -2.5018510818481445, 1.9759901762008667, -2.232696294784546, 3.191804885864258, -1.7871403694152832, -0.3834346532821655, -2.897125005722046, 4.389615058898926, 0.7705528736114502, 4.116487503051758, 2.910120725631714, -0.07395092397928238, 2.086682081222534, -2.701233386993408, 2.2955780029296875, -3.8246469497680664, 0.36410412192344666, -2.051851272583008, 2.5678293704986572, 0.32599833607673645, 1.187013030052185, 3.197329521179199, -0.1564866155385971, -1.3771672248840332, 0.5240973234176636, -1.1742897033691406, 0.3658832013607025, -1.3595423698425293, -2.080249786376953, -3.426290273666382, -3.1018271446228027, -0.6465391516685486, 1.2259070873260498, 0.2557668089866638, -0.5319837927818298, 0.06826815009117126, -2.397958517074585, -1.4261858463287354, 0.08667021244764328, -0.23406490683555603, 3.4192473888397217, -1.0956041812896729, -1.8897956609725952, 0.658050537109375, -0.38173094391822815, -1.5362552404403687, -0.5857869982719421, 2.359675168991089, 0.5761746168136597, 0.9271590113639832, -0.5609769225120544, 0.31585633754730225, 1.0785868167877197, 0.19625064730644226, 0.5264255404472351, -1.2106349468231201, 0.34074708819389343, 0.9839369654655457, 1.0921080112457275, -1.9124103784561157, -0.06740397214889526, -0.3603343367576599, -0.733087420463562, -0.1121586486697197, -0.8536993861198425, 1.0195847749710083, -1.989772915840149, -0.19891798496246338, 0.6743704080581665, 2.0476129055023193, -0.7348728179931641, 0.9231346249580383, 2.320159673690796, 1.4810351133346558, -1.6795177459716797, 1.6726410388946533, -1.530508041381836, 1.3934497833251953, -1.085955262184143, -0.7841151356697083, -1.1972200870513916, -1.5621494054794312]"
s3://p9-compartiment/Test_aws/Walnut/r2_167_100.jpg,Walnut,"[-4.8775315284729, 3.2877800464630127, -14.813478469848633, 5.190141677856445, 3.797075033187866, 0.5293859839439392, 6.625750541687012, -6.566355228424072, 3.9791369438171387, -2.5327484607696533, -8.432365417480469, -3.667043685913086, 7.519445419311523, -2.928875684738159, 1.1025151014328003, -1.365990400314331, 6.4009809494018555, -6.801994800567627, -0.7636008262634277, -2.7460777759552, -1.264018177986145, -1.0284240245819092, -5.95559024810791, 2.5454154014587402, 7.2880659103393555, -1.817618489265442, 8.752358436584473, 0.34911414980888367, 3.0575110912323, 1.981447696685791, 0.9580344557762146, -2.174497127532959, -0.4133436977863312, -2.5282487869262695, 9.567824363708496, 0.7301874160766602, -4.74714994430542, 0.6138219237327576, -5.171695709228516, 5.155032634735107, -2.195352792739868, 2.972752094268799, -4.626873016357422, -1.7412464618682861, 2.4340755939483643, 0.17082640528678894, -2.7555348873138428, -2.435276508331299, 0.5816673040390015, 3.0554208755493164, 3.152249813079834, 4.307410717010498, 6.915483474731445, -2.8674514293670654, -1.0065808296203613, -0.42084622383117676, 0.9683393836021423, -0.832360565662384, 1.562989592552185, 2.6902353763580322, 1.004917025566101, 3.2951176166534424, -2.3122408390045166, -3.1657450199127197, -0.6027615666389465, -0.18634407222270966, 2.699016809463501, 1.2817445993423462, -2.8680312633514404, 0.5039677023887634, 1.3241444826126099, 0.7871800065040588, 0.3370741605758667, 4.284414291381836, -2.44736909866333, 1.7835347652435303, -0.685538649559021, -0.8465375304222107, -2.221496105194092, 2.4043803215026855, 1.41627836227417, -1.064509391784668, -0.2557293474674225, -0.3109544813632965, 0.5351441502571106, 1.9511767625808716, -1.5941208600997925, 0.2516572177410126, -2.573483943939209, 1.8824390172958374, 1.8032360076904297, 0.024317286908626556, -4.103250503540039]"
s3://p9-compartiment/Test_aws/Guava/154_100.jpg,Guava,"[2.933262348175049, 12.9058256149292, -5.959712028503418, -0.9542378187179565, 2.4310567378997803, -0.4264727532863617, 3.465437889099121, -1.979970932006836, -1.5845314264297485, 4.652701377868652, -7.6959309577941895, -0.7975614666938782, 0.16111353039741516, -1.5873652696609497, -4.384848117828369, -2.0213592052459717, 0.1800585836172104, -4.995275497436523, -1.3290098905563354, 1.9037848711013794, 0.9828550219535828, 0.05587616562843323, 3.7464447021484375, 5.4035515785217285, -2.4077048301696777, -3.2857816219329834, 3.014202117919922, -3.3045413494110107, -2.356701612472534, 1.7643235921859741, 0.23668572306632996, -2.29012393951416, -2.0362534523010254, -5.187977313995361, 1.4377503395080566, -1.2119420766830444, 0.47096768021583557, -4.155664443969727, 1.9432517290115356, -0.15877899527549744, 0.41716140508651733, 0.9768107533454895, -0.15804877877235413, -0.15162022411823273, -1.081581950187683, -2.2049403190612793, 0.9667928814888, -1.9146819114685059, -1.956316351890564, 2.7315304279327393, 1.9543812274932861, -2.618032455444336, 0.14112591743469238, 0.4502323865890503, -1.504932165145874, 0.7157977223396301, 1.2696541547775269, 1.2400296926498413, -2.8399596214294434, -1.6108574867248535, -0.5610910058021545, 4.2230048179626465, 2.6524839401245117, 1.3025858402252197, 0.3429252505302429, -2.0482800006866455, -0.33442604541778564, -0.7455002069473267, -0.1901063770055771, -2.0053060054779053, 0.7321584820747375, 2.8813533782958984, 1.6989593505859375, 0.7487230896949768, -1.2245121002197266, 0.3781392276287079, 0.6771854162216187, -1.4545854330062866, -0.004159212112426758, -0.30577903985977173, 1.2183966636657715, 1.7125234603881836, 1.1419566869735718, -1.3119456768035889, 0.4752146899700165, -0.06253606081008911, 1.2778797149658203, 0.876835823059082, -1.8618338108062744, -2.471846580505371, -0.32286766171455383, -2.4068665504455566, 0.6612425446510315]"
s3://p9-compartiment/Test_aws/Pear Red/r2_203_100.jpg,Pear Red,"[3.43103289604187, 4.015010356903076, 5.160060405731201, -2.1037211418151855, -12.108749389648438, 2.394618511199951, -1.0803821086883545, -2.561915636062622, -2.42399001121521, 3.6248159408569336, -1.366884708404541, 0.9552163481712341, 4.170126914978027, 6.546079635620117, 5.466196537017822, -0.6454953551292419, -1.0090750455856323, -0.8729000091552734, 1.8893964290618896, -4.562285423278809, 0.5772325396537781, -0.6634520292282104, 0.9389916062355042, -2.8279895782470703, 3.438490629196167, -2.4891116619110107, 1.6635018587112427, -2.5608227252960205, 1.312532663345337, 0.09193973988294601, 0.3635375499725342, -2.1346638202667236, -4.047885417938232, -0.3377290666103363, -1.4208801984786987, -3.597221612930298, -0.2717791795730591, -0.29589101672172546, 0.624261200428009, -0.7050973773002625, 1.2271850109100342, -2.480013370513916, 1.4696204662322998, -4.582117557525635, 1.3182106018066406, 0.39560720324516296, -0.4513533413410187, 1.2931694984436035, 0.11781081557273865, -2.2926626205444336, -0.5329672694206238, -0.8726940751075745, -1.210330605506897, 2.6204731464385986, 0.8035027980804443, -0.7693633437156677, 1.7962687015533447, 2.8276913166046143, -2.86753249168396, 3.186879873275757, 0.3562660217285156, -1.188605785369873, -0.47066932916641235, -2.5606677532196045, -0.5976654291152954, 0.0014714751159772277, -4.207890033721924, 0.5965046286582947, 1.0783545970916748, -0.8318904042243958, 2.156454563140869, -0.014804496429860592, -0.8834174275398254, 3.7723913192749023, -2.0758004188537598, 1.1173057556152344, -0.9837349057197571, -0.1780349165201187, -0.4024515748023987, 0.8869011402130127, -1.999077558517456, -1.015652060508728, 0.7939227223396301, -0.054742615669965744, -1.4427869319915771, -0.9814161062240601, -2.1999669075012207, 1.71915602684021, -0.15598611533641815, -2.5098299980163574, -0.26050251722335815, -1.3563045263290405, -2.735957622528076]"
s3://p9-compartiment/Test_aws/Pear Williams/r_321_100.jpg,Pear Williams,"[4.144583702087402, 12.061491966247559, 0.4662517309188843, 0.25222936272621155, 4.380993843078613, -2.5892786979675293, 2.5000159740448, -3.4155333042144775, 2.4605329036712646, -1.358144760131836, -0.18863898515701294, 0.10711155831813812, 0.3025018870830536, -0.9624484181404114, -1.8582384586334229, -0.7652625441551208, -3.100069522857666, -0.25622284412384033, 4.732599258422852, -3.446281909942627, -1.2064814567565918, -0.3769373893737793, 4.794203281402588, 3.585247278213501, 0.5574674010276794, -1.6337789297103882, 1.3027629852294922, 1.8256328105926514, -0.7076628804206848, -0.9951304793357849, -1.3990975618362427, -0.5183383822441101, 1.9416253566741943, -0.6873289942741394, 0.5608070492744446, -1.7728235721588135, 0.3101622760295868, -0.7264087796211243, -1.6940423250198364, 1.453657627105713, 1.900647759437561, -0.4396463632583618, 3.067650079727173, -0.8631272315979004, 1.4138333797454834, -1.965362787246704, -1.0272979736328125, 0.5169428586959839, 1.4681684970855713, -0.36835527420043945, 1.9491374492645264, -3.7330424785614014, -0.38705769181251526, 2.605225086212158, 0.3217028081417084, 1.1978130340576172, 1.0712891817092896, -0.3784792423248291, -0.7830765843391418, -2.359795093536377, 0.3924310803413391, -0.4218546748161316, 3.2512638568878174, 0.4685885012149811, -0.1720341593027115, 0.16564235091209412, 0.6712003946304321, 3.822721242904663, 0.7717812061309814, -1.6094779968261719, -1.8103724718093872, 0.15967798233032227, 0.8585898876190186, 1.5262020826339722, 1.650588035583496, -0.045673295855522156, 1.2723671197891235, 1.3740615844726562, -1.135268211364746, -0.24920539557933807, -0.42757195234298706, -0.5504605770111084, -2.7277605533599854, -1.8237353563308716, 2.746478796005249, 0.8295004367828369, -0.2644850015640259, -1.1779229640960693, 0.9942170977592468, 1.4779194593429565, -1.1205941438674927, -2.364932060241699, -0.9683412313461304]"
s3://p9-compartiment/Test_aws/Pomelo Sweetie/145_100.jpg,Pomelo Sweetie,"[7.645872116088867, 9.474903106689453, 4.721843242645264, 0.023848367854952812, 4.369508743286133, 1.856248378753662, -3.257707118988037, 4.91114616394043, -1.773749589920044, 0.3045025169849396, -1.3992705345153809, 1.5816072225570679, 2.072963237762451, 1.7145657539367676, -2.069962501525879, 1.0917340517044067, 2.1876466274261475, 0.27129197120666504, 1.6002482175827026, 1.6915982961654663, 0.4511699080467224, 2.1115262508392334, 0.022307055070996284, 1.0372893810272217, -2.624833106994629, -0.524523913860321, -1.544954538345337, 1.8659790754318237, -0.4884814918041229, -2.3312530517578125, 0.5597608685493469, 1.5803390741348267, -1.4744073152542114, 1.6798468828201294, 0.3296785354614258, 0.687614381313324, 2.5794670581817627, 1.5613300800323486, 0.197933167219162, 0.11478396505117416, 3.200955390930176, 2.119126796722412, -2.5543460845947266, 1.7409558296203613, 2.2883760929107666, 2.359947681427002, 0.5800346732139587, 0.6350917220115662, 0.7593088150024414, 1.1168168783187866, -0.8367355465888977, -1.1848201751708984, -0.7608577609062195, -0.44176891446113586, 1.2464171648025513, 0.896950900554657, 1.5111513137817383, -0.23129963874816895, 1.0311925411224365, 1.212424397468567, -0.7536373138427734, -0.2861327528953552, 0.7856406569480896, -2.3471901416778564, 0.5596082210540771, 0.9654402136802673, -0.6323933005332947, 1.8917278051376343, -1.3081756830215454, 1.4022337198257446, -1.9878835678100586, -1.2264032363891602, -0.7026513814926147, -0.8913645148277283, 1.155192255973816, -0.3074648976325989, 0.29390227794647217, 0.2987847924232483, -0.9714259505271912, 0.7034570574760437, -0.16140054166316986, 0.3185466527938843, 1.0615729093551636, 0.3063032627105713, -1.27877938747406, -0.5452302694320679, 0.5482907295227051, -0.1995251178741455, 0.1465977281332016, -0.37661537528038025, 1.1943203210830688, 0.4849150776863098, 0.19837230443954468]"
s3://p9-compartiment/Test_aws/Pitahaya Red/23_100.jpg,Pitahaya Red,"[-23.85316276550293, -14.975603103637695, 8.376130104064941, -18.20297622680664, -11.013033866882324, -16.852142333984375, -9.492825508117676, 12.68069839477539, 0.28981658816337585, -11.357921600341797, -15.328700065612793, 15.31778335571289, -0.626895546913147, 1.2820466756820679, -1.586612343788147, -1.4754096269607544, 2.6455819606781006, -0.11765456199645996, 4.292122840881348, 11.984332084655762, -10.805700302124023, -4.986558437347412, 9.06131649017334, 3.012794256210327, 4.318965911865234, -1.4808999300003052, -3.0180959701538086, 1.7114918231964111, -1.9423290491104126, -4.308677673339844, -6.306115627288818, -3.7267603874206543, -5.014398097991943, 0.8830360770225525, 3.7924938201904297, -0.0531277172267437, -2.632444381713867, 1.9638241529464722, -1.1492106914520264, -3.0710177421569824, -1.4451510906219482, -2.127823829650879, -1.4809261560440063, -5.8385491371154785, -2.615046977996826, 1.0580064058303833, -0.6939086318016052, -0.4039730727672577, -9.0309419631958, 0.9415754675865173, 3.0617992877960205, 1.1080535650253296, 0.5038540363311768, 4.442925453186035, -4.801523208618164, 0.04175705462694168, 2.5093419551849365, -3.3139312267303467, 6.0805583000183105, -3.7309823036193848, 1.5470752716064453, -0.24647386372089386, -0.9317684173583984, -3.4467484951019287, 0.9162560105323792, -5.255303859710693, -3.8071138858795166, 0.1547168642282486, -0.5899292230606079, 0.4976327419281006, -1.5411913394927979, -1.9199789762496948, -0.6646718382835388, -3.2376632690429688, -2.392279863357544, 1.8836981058120728, 5.154966354370117, -3.856177568435669, -1.478352665901184, 10.382954597473145, -0.9584815502166748, 3.1066062450408936, -3.9476683139801025, -2.3417975902557373, -2.823516368865967, 0.3075954020023346, -4.1912031173706055, -0.43028321862220764, 1.1138558387756348, -1.622986078262329, -1.6552870273590088, 4.04692268371582, 2.9157798290252686]"
s3://p9-compartiment/Test_aws/Peach/r_103_100.jpg,Peach,"[8.655599594116211, 3.766425848007202, -5.2180562019348145, -1.152612328529358, -7.885134696960449, 4.8015313148498535, -1.1757580041885376, -1.3459904193878174, 3.9156506061553955, -0.6758869290351868, -4.564817428588867, -0.3778460621833801, 4.157963275909424, 0.7689651846885681, 1.6896475553512573, 2.615722417831421, 0.6834703683853149, 0.08129523694515228, -2.277790069580078, -0.9503167867660522, -0.14630818367004395, -1.3033322095870972, -0.9103634357452393, 0.7073898911476135, 2.9816019535064697, 0.13294728100299835, -0.9515325427055359, -3.444092273712158, 0.31424662470817566, 0.41999030113220215, -2.0546555519104004, -0.9926571846008301, 1.011915683746338, -0.8328852653503418, -0.9040724635124207, 0.805513322353363, 0.060731057077646255, -0.2451397329568863, -0.3018471598625183, -0.8312965631484985, 2.6257190704345703, -0.3386574685573578, 0.031443677842617035, -0.770078718662262, 0.6368817090988159, 0.2578098475933075, 0.6598484516143799, -2.019033670425415, 1.0260860919952393, -2.116241693496704, 0.4358014166355133, -2.2037456035614014, 1.9962782859802246, 1.0016433000564575, 1.2555774450302124, -0.048489633947610855, -1.5441139936447144, -1.0517243146896362, -2.7056407928466797, -2.416811227798462, 1.185333251953125, 0.5005629062652588, 0.36719438433647156, 0.4044128358364105, 0.8359458446502686, -0.6631697416305542, -0.7809870839118958, 1.3742151260375977, -0.8610900044441223, -0.5955510139465332, -2.308175563812256, 0.22695648670196533, 1.3305177688598633, 0.6954700946807861, 0.10439717769622803, 0.49488916993141174, -0.45402297377586365, 0.4301178455352783, -0.012212857604026794, -0.44071877002716064, 0.11694532632827759, -0.6528724431991577, -0.7483280897140503, -0.19483496248722076, -0.3717903196811676, 0.10900348424911499, -1.3882832527160645, -0.12845459580421448, -0.7790015935897827, 0.8164477348327637, -0.29164552688598633, 0.29285550117492676, 0.502101480960846]"
